Rank,,Football Club,,Best Result,,92–93,93–94,94–95,95–96,96–97,97–98,98–99,99–00,00–01,01–02,02–03,03–04,04–05,05–06,06–07,07–08,08–09,09–10,10–11,11–12,12–13,13–14,14–15,15–16,16–17,17–18,18–19
1,,Manchester United,,1st (x13),,1,1,2,1,1,2,1,1,1,3,1,3,3,2,1,1,1,2,1,2,1,7,4,5,6EL,2,6
2,,Chelsea,,1st (x5),,11,14FA,11,11,6FA,4CW,3,5,6,6,4,2,1,1,2,2,3,1,2,6CL,3,3,1,10,1,5,3
3,,Manchester City,,1st (x4),,9,16,17,18,A,A,A,A,18,A,9FP,16,8,15,14,9FP,10,5,3,1,2,1,2,4,3,1,1
4,,Arsenal,,1st (x3),,10FA,4CW,12,5,3,1,2,2,2,1,2,1,2,4,4,3,4,3,4,3,4,4,3,2,5,6,5
5,,Blackburn Rovers,,1st,,4,2,1,7,13,6,19,A,A,10LC,6,15,15,6,10,7,15,10,15,19,A,A,A,A,A,A,A
6,,Leicester City,,1st,,A,A,21,A,9LC,10,10,8LC,13,20,A,18,A,A,A,A,A,A,A,A,A,A,14,1,12,9,9
7,,Liverpool,,2nd (x4),,6,8,4,3FA,4,3,7,4,3,2,5,4,5CL,3,3,4,2,7,6,8LC,7,2,6,8,4,4,2
8,,Newcastle United,,2nd (x2),,A,3,6,2,2,13FA,13FA,11,11,4,3,5,14,7,13,12,18,A,12,5,16,10,15,18,A,10,13
9,,Tottenham Hotspur,,2nd,,8,15,7,8,10,14,11,10,12,9,10,14,9,5,5,11LC,8,4,5,4[a],5,6,5,3,2,3,4
10,,Aston Villa,,2nd,,2,10LC,18,4,5,7,6,6,8,8,16,14,10,16,11,6,6,6,9,16,15,15,17,20,A,A,A
11,,Leeds United,,3rd,,17,5,5,13,11,5,4,3,4,5,15,19,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
12,,Norwich City,,3rd,,3,12,20,A,A,A,A,A,A,A,A,A,19,A,A,A,A,A,A,12,11,18,A,19,A,A,A
13,,Nottingham Forest,,3rd,,22,A,3,9,20,A,20,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
14,,Everton,,4th,,13,17,15FA,6,15,17,14,13,16,15,7,17,4,11,6,5,5,8,7,7,6,5,11,11,7,8,8
15,,West Ham United,,5th,,A,13,14,10,14,8,5,9,15,7,18,A,A,9FA,15,10,9,17,20,A,10,13,12FP,7,11,13,10
16,,Queen's Park Rangers,,5th,,5,9,8,19,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,17,20,A,20,A,A,A,A
17,,Ipswich Town,,5th,,16,19,22,A,A,A,A,A,5,18FP,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
18,,Southampton,,6th,,18,18,10,17,16,12,17,15,10,11,8FA,12,20,A,A,A,A,A,A,A,14,8,7,6,8,17,16
19,,Bolton Wanderers,,6th,,A,A,A,20,A,18,A,A,A,16,17,8,6,8,7,16,13,14,14,18,A,A,A,A,A,A,A
20,,Wimbledon F.C.,,6th,,12,6,9,14,8,15,16,18,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
21,,Sheffield Wednesday,,7th (x3),,7,7,13,15,7,16,12,19,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
22,,Sunderland,,7th (x2),,A,A,A,A,18,A,A,7,7,17,20,A,A,20,A,15,16,13,10,13,17,14,16,17,20,A,A
23,,Fulham,,7th,,A,A,A,A,A,A,A,A,A,13,14,9,13,12,16,17,7,12,8FP,9,12,19,A,A,A,A,19
24,,Charlton Athletic,,7th,,A,A,A,A,A,A,18,A,9,14,12,7,11,13,19,A,A,A,A,A,A,A,A,A,A,A,A
25,,Middlesbrough,,7th,,21,A,A,12,19,A,9,12,14,12,11,11LC,7,14,12,13,19,A,A,A,A,A,A,A,19,A,A
26,,Wolverhampton Wanderers,,7th,,A,A,A,A,A,A,A,A,A,A,A,20,A,A,A,A,A,15,17,20,A,A,A,A,A,A,7
27,,Burnley,,7th,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,18,A,A,A,A,19,A,16,7,15
28,,Swansea City,,8th,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,11,9LC,12,8,12,15,18,A
29,,Derby County,,8th,,A,A,A,A,12,9,8,16,17,19,A,A,A,A,A,20,A,A,A,A,A,A,A,A,A,A,A
30,,Portsmouth,,8th,,A,A,A,A,A,A,A,A,A,A,A,13,16,17,9,8FA,14,20[b],A,A,A,A,A,A,A,A,A
31,,West Bromwich Albion,,8th,,A,A,A,A,A,A,A,A,A,A,19,A,17,19,A,A,20,A,11,10,8,17,13,14,10,20,A
32,,Reading,,8th,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,8,18,A,A,A,A,19,A,A,A,A,A,A
33,,Stoke City,,9th (x3),,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,12,11,13FA,14,13,9,9,9,13,19,A
